Date,Price_DIG,Price_HCM,Price_HPG,Price_MBB,Price_MWG,Price_PVD,Price_SBT,Price_VCG,Price_VNM,Price_VOS
9/4/2024,23350.00,29150.00,25250.00,"24400	","68800	",26700.00,12300.00,19300.00,74300.00,16800.00
8/30/2024,23200.00,29300.00,25900.00,24900.00,69800.00,27450.00,12550.00,18800.00,73900.00,16350.00
8/29/2024,23850.00,29200.00,25600.00,24850.00,69100.00,27300.00,12450.00,18900.00,73500.00,16150.00
8/28/2024,24050.00,29450.00,25700.00,24650.00,69400.00,27600.00,12700.00,19150.00,73900.00,16500.00
8/27/2024,25050.00,29200.00,25750.00,24460.00,69800.00,27400.00,12700.00,19150.00,73500.00,16900.00
8/26/2024,25100.00,29700.00,26000.00,24450.00,69800.00,27600.00,12700.00,18850.00,73400.00,17150.00
8/23/2024,25150.00,28750.00,26050.00,24550.00,69690.00,27900.00,13000.00,19050.00,74900.00,16900.00
8/22/2024,24650.00,28000.00,25840.00,24400.00,69760.00,27800.00,12850.00,19000.00,74200.00,17050.00
8/21/2024,24550.00,27500.00,26150.00,24750.00,69800.00,28000.00,13050.00,19350.00,75200.00,17150.00
8/20/2024,25050.00,27400.00,25800.00,24250.00,69500.00,27650.00,13100.00,19200.00,75600.00,17300.00
8/19/2024,23700.00,27150.00,25850.00,24000.00,69000.00,27400.00,13100.00,18900.00,76000.00,17200.00
8/16/2024,23700.00,27200.00,25600.00,24050.00,69000.00,27200.00,12850.00,19050.00,73800.00,17100.00
8/15/2024,22200.00,25500.00,25200.00,23250.00,65680.00,26400.00,12650.00,18500.00,73800.00,16000.00
8/14/2024,22200.00,25900.00,25450.00,23400.00,66300.00,26700.00,12750.00,18400.00,74000.00,16300.00
8/13/2024,22400.00,26000.00,25400.00,23550.00,66700.00,26750.00,12750.00,18550.00,73800.00,16800.00
8/12/2024,22300.00,25900.00,25850.00,23700.00,61100.00,26850.00,12850.00,18600.00,73000.00,16550.00
8/9/2024,23150.00,25450.00,26050.00,23450.00,64780.00,26600.00,12700.00,18100.00,73300.00,15500.00
8/8/2024,22900.00,24300.00,25600.00,23050.00,62400.00,26150.00,12650.00,17750.00,72700.00,15250.00
8/7/2024,23000.00,24450.00,26050.00,23350.00,62300.00,26550.00,12700.00,16800.00,71370.00,15100.00
8/6/2024,22800.00,24300.00,26300.00,23680.00,62300.00,26350.00,12700.00,16850.00,72700.00,15350.00
8/5/2024,22550.00,23000.00,25950.00,22950.00,61600.00,25950.00,12300.00,16400.00,69400.00,15200.00
8/2/2024,23900.00,24550.00,27250.00,23800.00,62900.00,27900.00,12800.00,17600.00,71500.00,16300.00
8/1/2024,23350.00,24250.00,26700.00,23400.00,62100.00,27850.00,12500.00,17700.00,70300.00,15950.00
