Date,Price
9/4/2024,"1275.80	"
8/30/2024,1283.87
8/29/2024,1281.47
8/28/2024,1281.44
8/27/2024,1280.56
8/26/2024,1280.02
8/23/2024,1285.32
8/22/2024,1282.78
8/21/2024,1284.05
8/20/2024,1272.55
8/19/2024,1261.62
8/16/2024,1252.23
8/15/2024,1223.56
8/14/2024,1230.36
8/13/2024,1230.42
8/12/2024,1230.28
8/9/2024,1223.64
8/8/2024,1208.32
8/7/2024,1215.88
8/6/2024,1210.28
8/5/2024,1188.07
8/2/2024,1236.60
8/1/2024,1226.96
