Date,Price
9/4/2024,1317.71
8/30/2024,1331.52
8/29/2024,1326.67
8/28/2024,1323.54
8/27/2024,1322.28
8/26/2024,1318.60
8/23/2024,1321.15
8/22/2024,1318.57
8/21/2024,1317.69
8/20/2024,1305.25
8/19/2024,1299.04
8/16/2024,1291.68
8/15/2024,1265.32
8/14/2024,1270.38
8/13/2024,1268.72
8/12/2024,1271.44
8/9/2024,1264.84
8/8/2024,1243.31
8/7/2024,1253.58
8/6/2024,1252.81
8/5/2024,1232.11
8/2/2024,1281.01
8/1/2024,1272.00
