Date,DIG_Price,HCM_Price,HPG_Price,MBB_Price,MWG_Price,PVD_Price,SBT_Price,VCG_Price,VNM_Price,VOS_Price
2/1/2016,-3.774927673,15.0033001,1.444274381,1.381234145,4.085142749,8.338216449,6.150127384,-0.968436777,9.844514606,3.922071315
3/1/2016,-8.003375893,-10.7782203,5.577125453,-1.827481377,0.657125106,-5.33991054,1.739184967,0,4.581173191,7.410797215
4/1/2016,17.76622391,0.344757091,12.71711658,5.444428325,-0.657125106,2.910363736,13.52537521,1.946674174,3.663299575,-28.76820725
5/1/2016,9.95313895,11.07402909,0.889795534,3.257310507,15.60997362,25.85750655,-4.623349743,10.91137231,2.134584951,4.652001563
6/1/2016,-5.805996749,-5.212959931,15.83776365,-4.591458299,35.78526166,-1.916698128,-1.589869333,25.68328607,0.721822052,0
7/1/2016,4.706670534,4.25701251,11.66505843,0.669298817,8.565491907,-19.13996832,5.000751806,4.807127048,11.38399343,-25.78291093
8/1/2016,-12.21131163,-7.659172386,13.19040225,-1.343107445,7.200043137,-1.17861802,6.777425831,8.983562963,19.2838473,-6.062462182
9/1/2016,-7.830255951,1.716402762,6.556894113,0.673808627,-3.395132954,5.010541979,-12.42115699,-3.748309325,-10.8208048,-14.06998821
10/1/2016,6.128757235,-4.878588841,-11.46507217,0.770109897,4.084439487,-9.249322417,10.89591317,1.261170791,1.417722197,0
11/1/2016,3.757620296,-4.381200383,3.259888907,-6.876716776,12.92063011,-0.662144667,-7.909056826,-3.844541671,-2.857202261,-3.663413318
12/1/2016,-2.707902384,3.32690578,2.462356206,4.754418626,-5.608441922,-5.63498617,0.819764837,-12.52286732,-9.415121311,-27.28669867
1/1/2017,1.041321513,3.077330853,-1.988874406,1.065621996,2.532752422,1.43879358,-0.819764837,3.63726176,2.671693705,7.550755251
2/1/2017,9.494983506,10.64264169,-5.591417874,3.116922406,4.343212924,5.557340173,-1.242106692,8.232290449,1.842982277,6.169356901
3/1/2017,1.980754725,3.774149997,13.59581613,9.206844751,0.712739305,-10.18688928,2.874426237,3.869259564,8.668900104,-3.478611609
4/1/2017,20.56918573,-0.618960445,-3.837838943,2.887763173,-0.774957381,-12.46601977,10.00842365,-0.632573572,3.22771861,-3.603993648
5/1/2017,18.38890479,27.42976363,3.345525537,17.65137298,12.14127202,-12.62953029,9.597603258,13.66545039,2.499988376,14.49340247
6/1/2017,19.78230245,8.417088452,11.72054642,16.80724571,9.58111609,-11.89821198,15.39134059,17.30533257,5.14215296,57.53641449
7/1/2017,-3.922667902,-1.810556887,0.93232837,6.50973045,-2.360801379,-4.052237978,14.32924579,-2.806045238,-3.223333145,-16.46219797
8/1/2017,3.922667902,-12.7680179,8.171389109,-0.210035545,8.48437873,3.689894006,-22.96551134,8.159122769,-1.461676162,-4.852704089
9/1/2017,1.904491187,5.917647805,10.42250398,-3.918580329,6.117871008,2.505157164,-21.23147299,-4.722602587,0.537692191,-0.554018038
10/1/2017,2.17721111,-1.726100434,-5.008685711,3.83391304,9.973521035,5.164366193,-22.79614131,3.330780002,1.198426264,12.5163143
11/1/2017,23.07082328,25.15930157,10.75283237,12.46445132,4.936456637,22.9831526,-2.445042031,28.64782073,21.22262866,6.637506894
12/1/2017,3.45704703,15.05507992,12.85124463,-0.784722543,-3.006604123,21.94070622,2.926698873,-23.02536602,11.82612682,43.26160972
1/1/2018,9.487663473,29.59647136,28.5009615,22.78639604,-4.290462636,16.17693311,-1.697034139,15.28385758,-2.475913559,-9.026341238
2/1/2018,4.952471458,-0.994743356,5.768895301,7.544856483,-1.201536153,-17.68754248,-13.3180957,-7.775050188,-3.754468523,-22.15162117
3/1/2018,7.680202089,-0.125490025,-8.866058778,0.868324786,-9.467308714,-18.58023112,-1.689984673,-0.422927731,3.509228347,-11.62598061
4/1/2018,-13.29740526,-11.1077918,-11.57150183,-14.88835129,-8.652690433,-11.64763325,2.801227617,-24.59117583,-9.28541892,-8.080403242
5/1/2018,-18.49929055,-8.759165973,4.18605766,-2.712419079,4.035856669,-23.4233603,-20.46728107,-2.766841557,-11.9269474,-20.23222235
6/1/2018,-5.495421383,-11.73892573,-4.260912835,-10.49734279,7.087580863,1.475602619,4.960017712,-7.582385806,4.331499259,-0.607904608
7/1/2018,-10.09807768,-0.704576055,-2.772121378,6.306473203,2.425673486,-3.731206009,7.456843567,4.313504024,-1.064067589,-5.64413109
8/1/2018,14.50179955,8.627802482,6.729155031,1.0597905,2.704027409,16.11847433,12.90328033,8.003493842,-7.082101712,1.282068843
9/1/2018,1.704779084,11.18204762,5.716102173,-2.564146647,5.825958664,29.25244245,10.95605328,5.354695288,6.084883904,19.07782668
10/1/2018,-22.31485612,-23.04165085,-4.967834888,-5.334389393,-12.01620201,-21.77272755,-2.386683771,-3.717967272,-16.77173697,-16.56197072
11/1/2018,9.403183997,0.733563009,-19.25603969,-1.610530802,-0.116447246,-4.92350215,1.913499778,0,9.758405943,7.765093423
12/1/2018,-0.642780112,-15.30827385,-7.01797817,-10.25302756,2.915075204,-8.214963437,0.538515904,20.02286844,-5.644537298,-6.530509841
1/1/2019,0.962627404,-3.144150158,-11.09393464,11.86355837,-4.705035774,11.01436401,1.404101822,7.664122579,11.77898894,9.363560503
2/1/2019,6.559980788,21.11655196,19.30974486,-1.842905742,4.474785137,4.204876024,-0.756899462,15.99253459,4.418854695,-6.939199342
3/1/2019,-1.567115804,-1.057816159,-4.255759219,4.100061262,-2.332143453,5.158450582,-7.352467215,-1.836011267,-4.567003683,-5.539877939
4/1/2019,-0.328105245,-10.26057274,4.255759219,-0.0303015,0.119778424,5.700788453,-0.820416169,2.196840974,-3.780326603,-0.634922768
5/1/2019,-6.45349057,3.014462639,-4.566855891,-4.455125721,3.112074233,-1.328221055,-0.827892037,-4.826479441,-0.2317948,3.750439546
6/1/2019,-5.407686247,-4.399040775,-4.949000589,0.239125197,7.493906491,-0.267462995,-4.823988787,0,-3.976226541,-11.70164584
7/1/2019,-2.626862334,-8.954866526,-4.127268247,6.034566132,14.05091446,-0.61930341,-0.889379159,-0.378706025,0.162834545,1.369884436
8/1/2019,13.61216885,-1.890759422,-1.563480461,3.973946978,9.03627675,10.15003828,-0.905461278,0.762156306,-0.162834545,41.22447951
